,date,type
344,2013-12-01,holiday
345,2013-12-07,holiday
346,2013-12-08,holiday
347,2013-12-14,holiday
348,2013-12-15,holiday
349,2013-12-21,holiday
350,2013-12-22,holiday
351,2013-12-28,holiday
352,2013-12-29,holiday
353,2014-01-01,holiday
354,2014-01-02,holiday
355,2014-01-03,holiday
356,2014-01-04,holiday
357,2014-01-05,holiday
358,2014-01-06,holiday
359,2014-01-07,holiday
360,2014-01-08,holiday
361,2014-01-11,holiday
362,2014-01-12,holiday
363,2014-01-18,holiday
364,2014-01-19,holiday
365,2014-01-25,holiday
366,2014-01-26,holiday
367,2014-02-01,holiday
368,2014-02-02,holiday
369,2014-02-08,holiday
370,2014-02-09,holiday
371,2014-02-15,holiday
372,2014-02-16,holiday
373,2014-02-22,holiday
374,2014-02-23,holiday
375,2014-03-01,holiday
376,2014-03-02,holiday
377,2014-03-08,holiday
378,2014-03-09,holiday
379,2014-03-10,holiday
380,2014-03-15,holiday
381,2014-03-16,holiday
382,2014-03-22,holiday
383,2014-03-23,holiday
384,2014-03-29,holiday
385,2014-03-30,holiday
386,2014-04-05,holiday
387,2014-04-06,holiday
388,2014-04-12,holiday
389,2014-04-13,holiday
390,2014-04-19,holiday
391,2014-04-20,holiday
392,2014-04-26,holiday
393,2014-04-27,holiday
394,2014-05-01,holiday
395,2014-05-02,holiday
396,2014-05-03,holiday
397,2014-05-04,holiday
398,2014-05-09,holiday
399,2014-05-10,holiday
400,2014-05-11,holiday
401,2014-05-17,holiday
402,2014-05-18,holiday
403,2014-05-24,holiday
404,2014-05-25,holiday
405,2014-05-31,holiday
406,2014-06-01,holiday
407,2014-06-07,holiday
408,2014-06-08,holiday
409,2014-06-12,holiday
410,2014-06-13,holiday
411,2014-06-14,holiday
412,2014-06-15,holiday
413,2014-06-21,holiday
414,2014-06-22,holiday
415,2014-06-28,holiday
416,2014-06-29,holiday
417,2014-07-05,holiday
418,2014-07-06,holiday
419,2014-07-12,holiday
420,2014-07-13,holiday
421,2014-07-19,holiday
422,2014-07-20,holiday
423,2014-07-26,holiday
424,2014-07-27,holiday
425,2014-08-02,holiday
426,2014-08-03,holiday
427,2014-08-09,holiday
428,2014-08-10,holiday
429,2014-08-16,holiday
430,2014-08-17,holiday
431,2014-08-23,holiday
432,2014-08-24,holiday
433,2014-08-30,holiday
434,2014-08-31,holiday
435,2014-09-06,holiday
436,2014-09-07,holiday
437,2014-09-13,holiday
438,2014-09-14,holiday
439,2014-09-20,holiday
440,2014-09-21,holiday
441,2014-09-27,holiday
442,2014-09-28,holiday
443,2014-10-04,holiday
444,2014-10-05,holiday
445,2014-10-11,holiday
446,2014-10-12,holiday
447,2014-10-18,holiday
448,2014-10-19,holiday
449,2014-10-25,holiday
450,2014-10-26,holiday
451,2014-11-01,holiday
452,2014-11-02,holiday
453,2014-11-03,holiday
454,2014-11-04,holiday
455,2014-11-08,holiday
456,2014-11-09,holiday
457,2014-11-15,holiday
458,2014-11-16,holiday
459,2014-11-22,holiday
460,2014-11-23,holiday
461,2014-11-29,holiday
462,2014-11-30,holiday
463,2014-12-06,holiday
464,2014-12-07,holiday
465,2014-12-13,holiday
466,2014-12-14,holiday
467,2014-12-20,holiday
468,2014-12-21,holiday
469,2014-12-27,holiday
470,2014-12-28,holiday
471,2015-01-01,holiday
472,2015-01-02,holiday
473,2015-01-03,holiday
474,2015-01-04,holiday
475,2015-01-05,holiday
476,2015-01-06,holiday
477,2015-01-07,holiday
478,2015-01-08,holiday
479,2015-01-09,holiday
480,2015-01-10,holiday
481,2015-01-11,holiday
482,2015-01-17,holiday
483,2015-01-18,holiday
484,2015-01-24,holiday
485,2015-01-25,holiday
486,2015-01-31,holiday
487,2015-02-01,holiday
488,2015-02-07,holiday
489,2015-02-08,holiday
490,2015-02-14,holiday
491,2015-02-15,holiday
492,2015-02-21,holiday
493,2015-02-22,holiday
494,2015-02-23,holiday
495,2015-02-28,holiday
496,2015-03-01,holiday
497,2015-03-07,holiday
498,2015-03-08,holiday
499,2015-03-09,holiday
500,2015-03-14,holiday
501,2015-03-15,holiday
502,2015-03-21,holiday
503,2015-03-22,holiday
504,2015-03-28,holiday
505,2015-03-29,holiday
506,2015-04-04,holiday
507,2015-04-05,holiday
508,2015-04-11,holiday
509,2015-04-12,holiday
510,2015-04-18,holiday
511,2015-04-19,holiday
512,2015-04-25,holiday
513,2015-04-26,holiday
514,2015-05-01,holiday
515,2015-05-02,holiday
516,2015-05-03,holiday
517,2015-05-04,holiday
518,2015-05-09,holiday
519,2015-05-10,holiday
520,2015-05-11,holiday
521,2015-05-16,holiday
522,2015-05-17,holiday
523,2015-05-23,holiday
524,2015-05-24,holiday
525,2015-05-30,holiday
526,2015-05-31,holiday
527,2015-06-06,holiday
528,2015-06-07,holiday
529,2015-06-12,holiday
530,2015-06-13,holiday
531,2015-06-14,holiday
532,2015-06-20,holiday
533,2015-06-21,holiday
534,2015-06-27,holiday
535,2015-06-28,holiday
536,2015-07-04,holiday
537,2015-07-05,holiday
538,2015-07-11,holiday
539,2015-07-12,holiday
540,2015-07-18,holiday
541,2015-07-19,holiday
542,2015-07-25,holiday
543,2015-07-26,holiday
544,2015-08-01,holiday
545,2015-08-02,holiday
546,2015-08-08,holiday
